Wavelength,,,,
nm,,,,
Type,ref,ref,ref,ref
AA,Non,Non,Non,Non
experim,BL1,BL2,BL3,BL4
464,0.287705,0.34728,0.469621,0.424387
465,0.311786,0.340186,0.493441,0.436158
466,0.291371,0.372948,0.49187,0.458543
467,0.306491,0.35973,0.473962,0.449485
468,0.342325,0.374703,0.428384,0.495862
469,0.300878,0.386241,0.430424,0.524471
470,0.281178,0.372302,0.347142,0.52362
471,0.274032,0.303145,0.314595,0.504537
472,0.297415,0.283962,0.326937,0.457148
473,0.379478,0.251838,0.345452,0.487511
474,0.395676,0.247986,0.343612,0.487347
475,0.335524,0.255092,0.349768,0.521719
476,0.359452,0.236518,0.343857,0.507166
477,0.370414,0.231567,0.396755,0.528897
478,0.390529,0.258459,0.409863,0.508899
479,0.379548,0.296848,0.484258,0.534686
480,0.385677,0.319386,0.575399,0.588417
481,0.380202,0.339165,0.571292,0.59326
482,0.296942,0.332456,0.539492,0.564351
483,0.281581,0.31521,0.566834,0.510587
484,0.294282,0.293624,0.568194,0.519766
485,0.289784,0.289604,0.611456,0.503717
486,0.36187,0.260526,0.61173,0.498716
487,0.38351,0.273005,0.63221,0.527153
488,0.363139,0.261682,0.588132,0.509078
489,0.376968,0.31698,0.594402,0.479661
490,0.28978,0.342835,0.6154,0.48666
491,0.279175,0.398213,0.63302,0.486947
492,0.320031,0.443713,0.61805,0.540878
493,0.341374,0.444387,0.649472,0.60119
494,0.325317,0.456273,0.634673,0.638751
495,0.210703,0.480023,0.585789,0.678634
496,0.14314,0.426536,0.584452,0.687495
497,0.0618218,0.398155,0.590582,0.679462
498,0.00443066,0.452566,0.629648,0.661611
499,0.0444246,0.380209,0.556313,0.676156
500,-0.00784875,0.338749,0.506767,0.634007
501,-0.0181083,0.373216,0.520901,0.577855
502,-0.0936867,0.312716,0.493318,0.553047
503,-0.116298,0.240595,0.434372,0.516943
504,-0.00856166,0.271211,0.377516,0.469909
505,-0.0156353,0.217871,0.400721,0.431093
506,0.0397528,0.276912,0.376325,0.495532
507,-0.016473,0.25655,0.389892,0.496015
508,0.0806614,0.21093,0.415027,0.502674
509,0.133076,0.144193,0.379624,0.513058
510,0.156466,0.179562,0.385539,0.529537
511,0.166631,0.241291,0.382382,0.567473
512,0.048876,0.282274,0.420632,0.518517
513,0.167122,0.334792,0.453191,0.490215
514,0.111391,0.328564,0.512933,0.525681
515,0.0560482,0.352033,0.487718,0.510091
516,0.112359,0.389793,0.495735,0.523143
517,0.109281,0.48162,0.510632,0.503664
518,-0.0308262,0.48704,0.514691,0.500806
519,0.0862104,0.496841,0.512086,0.556591
520,0.115997,0.486407,0.602684,0.59516
521,0.149959,0.490995,0.628436,0.561668
522,0.207639,0.584557,0.600864,0.695532
523,0.106317,0.643436,0.594701,0.701101
524,0.302748,0.708055,0.623768,0.730029
525,0.412139,0.713894,0.63162,0.723011
526,0.395217,0.767551,0.682385,0.653139
527,0.4155,0.696094,0.753446,0.727197
528,0.427197,0.623783,0.782891,0.713199
529,0.258715,0.553835,0.760873,0.644861
530,0.317612,0.508613,0.695462,0.665758
531,0.307726,0.417645,0.756932,0.675388
532,0.269422,0.371587,0.633855,0.612686
533,0.151297,0.388519,0.602769,0.462931
534,0.202615,0.310398,0.649241,0.436058
535,0.241657,0.394949,0.655881,0.423003
536,0.186097,0.415654,0.645595,0.328274
537,0.206077,0.348042,0.664899,0.252219
538,0.196482,0.348379,0.618558,0.158441
539,0.136556,0.256469,0.624452,0.141313
540,0.0942433,0.196874,0.547772,0.0479187
541,0.121992,0.184752,0.58022,-0.013126
542,0.229591,0.175173,0.511453,0.0299651
543,0.0867972,0.227467,0.431211,-0.0607606
544,0.00532276,0.200997,0.376852,-0.0994906
545,0.194911,0.118588,0.403284,-0.0539509
546,0.139882,-0.00639748,0.251342,-0.0519327
547,0.149817,0.0993867,0.255313,-0.0450249
548,0.237157,0.0892626,0.161356,-0.00844481
549,0.193291,0.149377,0.241897,0.0127046
550,0.132944,0.114831,0.257017,-0.066763
551,0.126087,0.0578458,0.39981,0.0677998
552,0.209876,0.230745,0.434366,0.0528523
553,0.427206,0.365312,0.457862,0.133225
554,0.371344,0.492049,0.478906,0.21154
555,0.321019,0.46016,0.490934,0.276211
556,0.306234,0.458811,0.503968,0.361264
557,0.420415,0.541556,0.556496,0.386467
558,0.428768,0.430145,0.533936,0.417247
559,0.562738,0.428316,0.469677,0.503792
560,0.586398,0.418581,0.420291,0.43325
561,0.698928,0.438816,0.337397,0.455644
562,0.672952,0.366962,0.25386,0.406062
563,0.590282,0.41876,0.285971,0.345095
564,0.584793,0.298172,0.352957,0.451583
565,0.438163,0.319486,0.238354,0.338664
566,0.483998,0.378554,0.326143,0.306903
567,0.518636,0.356022,0.418259,0.263709
568,0.477497,0.362735,0.416966,0.255694
569,0.419728,0.325557,0.526728,0.303855
570,0.338603,0.32138,0.680056,0.304321
571,0.344903,0.353866,0.788238,0.399384
572,0.27824,0.356518,0.796248,0.438321
573,0.235169,0.422099,0.796393,0.412723
574,0.23345,0.320907,0.816704,0.303935
575,0.370406,0.369401,0.787933,0.337569
576,0.357002,0.396722,0.637621,0.377042
577,0.360066,0.364878,0.582984,0.378444
578,0.396628,0.414681,0.752512,0.397764
579,0.383612,0.477442,0.663084,0.382321
580,0.227082,0.401034,0.665385,0.35028
581,0.253305,0.362096,0.739245,0.32138
582,0.354115,0.393515,0.666983,0.340371
583,0.304883,0.430712,0.611669,0.482641
584,0.26417,0.377727,0.763332,0.547304
585,0.310924,0.293259,0.774517,0.522877
586,0.32114,0.22002,0.75113,0.49046
587,0.352617,0.27213,0.755899,0.450331
588,0.378024,0.307638,0.786106,0.395147
589,0.403602,0.286665,0.686781,0.354882
590,0.528554,0.397035,0.555692,0.401453
591,0.265957,0.388072,0.490017,0.424639
592,0.333599,0.338524,0.461153,0.283699
593,0.220542,0.352469,0.431147,0.234426
594,0.0796939,0.356793,0.431255,0.238558
595,0.0474727,0.291744,0.490625,0.186671
596,0.0338616,0.306876,0.326407,0.239783
597,0.0194117,0.163235,0.235159,0.229544
598,0.00969259,0.0179264,0.29221,0.228737
599,0.041239,-0.0171424,0.280652,0.252629
600,0.0945067,-0.0739785,0.381017,0.224168
601,0.21048,-0.116243,0.39135,0.163694
602,0.222331,-0.099347,0.387741,0.227439
603,0.27589,0.0343057,0.344842,0.25924
604,0.340216,-0.0752565,0.396475,0.312379
605,0.412782,0.104183,0.497968,0.323724
606,0.19238,0.096133,0.485139,0.333538
607,-2.84505E-4,0.226486,0.44188,0.397348
608,-0.06676,0.280802,0.444477,0.475828
609,-0.0288629,0.274741,0.540465,0.446255
610,-0.135495,0.314347,0.623191,0.50406
611,-0.117116,0.423308,0.68164,0.413446
612,-0.14929,0.414663,0.520566,0.331153
613,-0.208365,0.503388,0.414394,0.358893
614,-0.175334,0.471869,0.421636,0.27945
615,-0.316695,0.485602,0.486722,0.343807
616,0.0376128,0.459495,0.477983,0.284988
617,0.112163,0.322136,0.519436,0.244467
618,0.10679,0.389419,0.433532,0.242498
619,0.113777,0.324962,0.340106,0.275632
620,0.238125,0.187354,0.387795,0.349733
621,0.283641,0.103283,0.412561,0.466006
622,0.384349,0.104261,0.568939,0.444552
623,0.183113,0.053261,0.537724,0.437012
624,0.221639,0.119261,0.615826,0.485843
625,0.0707288,0.08384,0.593185,0.478911
626,-0.046341,0.0952215,0.603812,0.493064
627,-0.0641433,0.224514,0.679959,0.533988
628,0.00181531,0.275411,0.755625,0.575675
629,0.170318,0.287186,0.838253,0.606072
630,0.209796,0.292889,0.840176,0.535883
631,0.138939,0.351041,0.827419,0.61472
632,0.0759677,0.381341,0.763408,0.663649
633,0.226593,0.399982,0.852151,0.641883
634,0.273695,0.449543,0.664126,0.6545
635,0.352444,0.452903,0.723935,0.646275
636,0.312159,0.446657,0.751996,0.704973
637,0.27717,0.463487,0.737224,0.69883
638,0.108781,0.473643,0.681405,0.721608
639,0.077,0.432217,0.652723,0.783129
640,-0.0694124,0.361284,0.640068,0.794109
641,-0.0499559,0.351907,0.667784,0.839583
642,0.026599,0.297958,0.630054,0.840929
643,0.0685937,0.319856,0.702566,0.850108
644,0.104804,0.453119,0.744909,0.941904
645,0.163939,0.516892,0.748008,0.935323
646,0.237623,0.626682,0.792624,0.923069
647,0.230485,0.651123,0.839975,0.884699
648,0.304849,0.731055,0.901607,0.900142
649,0.383431,0.76362,0.834021,0.95221
650,0.397985,0.875118,1.02259,0.952299
651,0.412279,0.922764,1.13294,0.947658
652,0.512607,0.925277,1.20047,0.910328
653,0.505607,0.943922,1.33833,0.83633
654,0.608872,0.927478,1.27423,0.904922
655,0.644602,0.98577,1.21424,0.885724
656,0.675096,1.0248,1.28322,0.852654
657,0.642191,0.925341,1.31653,0.883292
658,0.637415,0.894,1.37235,0.819067
659,0.695029,0.826617,1.33059,0.844165
660,0.747549,0.814267,1.22948,0.917316
661,0.629338,0.838482,1.19309,0.920317
662,0.492443,0.749654,1.09058,0.975289
663,0.406684,0.795441,1.11139,0.89205
664,0.31826,0.791213,1.16389,0.884316
665,0.357294,0.814753,1.19309,0.925852
666,0.319414,0.853451,1.2361,0.923469
667,0.342233,0.865755,1.3124,0.928203
668,0.303175,0.924764,1.31215,0.890874
669,0.341563,0.874774,1.36788,0.884576
670,0.338303,0.856804,1.34153,0.904837
671,0.504663,0.804347,1.27232,0.919006
672,0.558405,0.822176,1.24078,0.882869
673,0.695092,0.827422,1.21081,0.896811
674,0.726315,0.843041,1.12735,0.887053
675,0.703044,0.877846,1.08254,0.903093
676,0.666575,0.858287,1.04089,0.877074
677,0.630705,0.866541,1.01692,0.869593
678,0.688264,1.02962,0.907582,0.87091
679,0.774585,1.12815,0.932642,0.872814
680,0.658668,1.16393,1.00397,0.870768
681,0.599982,1.09185,1.04623,0.879803
682,0.507466,1.10833,1.10295,0.849352
683,0.634454,1.16112,1.18612,0.939645
684,0.76417,1.16105,1.2233,1.00107
685,0.883718,1.15421,1.27899,1.0084
686,0.905145,1.01361,1.30552,1.05281
687,0.797936,0.967844,1.38235,1.01423
688,0.680717,0.961225,1.4254,0.980847
689,0.629202,1.00193,1.44167,0.95636
690,0.582607,1.00488,1.39891,1.01219
691,0.650232,0.965221,1.42914,1.0181
692,0.59721,0.998753,1.3873,1.03596
693,0.514408,1.00303,1.34854,1.05194
694,0.465592,1.09325,1.3277,1.00255
695,0.417622,1.16254,1.20133,0.914576
696,0.461426,1.10966,1.1524,1.03458
697,0.56519,1.02498,1.10149,1.03688
698,0.81876,1.08856,1.11904,1.10024
699,0.942721,0.969348,1.08015,1.19417
700,0.952759,0.874025,1.05138,1.1269
701,1.0087,,1.13672,1.13685
702,0.860348,,1.2078,1.01197
703,0.887781,,1.29208,1.03229
704,1.01,,1.37313,1.11684
705,1.14021,,1.35229,1.06062
706,1.18137,,1.46188,0.997367
707,1.06864,,1.42248,0.964194
708,0.924937,,1.51227,0.86095
709,0.937226,,1.51678,0.884708
710,0.938082,,1.53801,0.805283
711,1.16237,,1.57648,0.874588
712,1.11977,,1.57108,0.972687
713,1.10076,,1.6714,0.862084
714,1.16824,,1.73116,0.884045
715,1.07367,,1.65797,0.871645
716,1.0063,,1.725,0.894125
717,1.17607,,1.75596,0.907834
718,1.20266,,1.78303,0.906835
719,1.20875,,1.71897,0.906228
720,1.14453,,1.66217,0.881647
721,1.27364,,1.6505,0.864166
722,1.27613,,1.61449,0.820822
723,1.25617,,1.59471,0.735493
724,1.33872,,1.63858,0.771408
725,1.43917,,1.68177,0.812145
726,1.28098,,1.69108,0.807306
727,1.34782,,1.68453,0.857667
728,1.37251,,1.66767,0.870109
729,1.42924,,1.73215,0.999401
730,1.31313,,1.80731,1.01415
731,1.27055,,1.83615,1.10019
732,1.22125,,1.86949,1.15383
733,1.18854,,1.91706,1.21764
734,1.18323,,1.89098,1.17464
735,1.08106,,1.92791,1.19261
736,1.06717,,2.02794,1.12431
737,1.15717,,2.08826,1.13982
738,1.09399,,2.13271,1.04893
739,1.09081,,2.07943,0.978934
740,1.04271,,2.13347,0.889053
741,1.24415,,1.9989,0.879704
742,1.17249,,1.96494,0.866919
743,1.12444,,1.90571,0.935289
744,1.28617,,1.89593,0.941165
745,1.2872,,1.85331,0.961552
746,1.20887,,1.80734,0.936179
747,1.12257,,1.70408,0.945095
748,1.03938,,1.64997,0.92194
749,1.25706,,1.60845,1.00856
750,1.23632,,1.66315,1.02572
751,1.23112,,1.65214,1.05402
752,1.28668,,1.7789,1.01717
753,1.22534,,1.74853,1.01661
754,1.2683,,1.71754,1.01273
755,1.17816,,1.7664,0.959696
756,1.39975,,1.89129,0.911326
757,1.47787,,1.87896,1.02572
758,1.43117,,1.97268,1.05123
759,1.40603,,1.95056,1.07922
760,1.4332,,1.91295,1.07619
761,1.44447,,1.88822,0.991047
762,1.48195,,1.93362,1.00762
763,1.44416,,2.00467,1.04629
764,1.38012,,1.97289,1.16568
765,1.29531,,1.992,1.34055
766,1.30881,,2.1763,1.30829
767,1.34669,,2.37558,1.28079
768,1.24001,,2.47317,1.23799
769,1.17372,,2.62274,1.19012
770,1.0891,,2.57958,1.09289
771,0.996333,,2.42572,0.915441
772,0.878421,,2.37251,0.817672
773,1.01419,,2.14683,0.637749
774,0.932049,,1.98331,0.591306
775,0.795842,,1.769,0.449579
776,0.651914,,1.4823,0.447551
777,0.537363,,1.30879,0.482699
778,0.566582,,1.18862,0.425896
779,0.51743,,1.07324,0.423882
780,0.578258,,1.24391,0.600881
781,0.616516,,1.25824,0.652126
782,0.491417,,1.40095,0.826072
783,0.666972,,1.54514,0.732276
784,0.777189,,1.65483,0.742489
785,0.73973,,1.71735,0.745492
786,0.822789,,1.72551,0.854649
787,0.782067,,1.83377,0.897679
788,0.833425,,1.8911,0.936826
789,0.760153,,1.89954,0.892737
790,0.73473,,1.8541,1.01134
791,0.756895,,1.90026,1.03233
792,0.811768,,2.07937,1.10631
793,0.798318,,2.12165,1.09377
794,0.931546,,2.16803,1.11622
795,0.883228,,2.21909,1.02436
796,0.930478,,2.24826,0.901094
797,0.985858,,2.24523,0.877723
798,0.895706,,2.12373,0.8351
799,0.881553,,2.14192,0.817293
800,0.892624,,1.87106,0.560443
