Wavelength,,,,,
nm,,,,,
Type,CA-FA-alc,CA-FA-alc,CA-FA-alc,CA-FA-alc,CA-FA-alc
AA,Ser,Ser,Ser,Ser,Ser
experim,no4_0.1,no3_0.5,no1_0.1,no2_0.1,no1_0.1a
431,0.0522965,-0.0927074,-0.0938914,,
432,0.0604433,-0.117828,-0.0833786,,
433,0.0320489,-0.0736642,-0.0211185,,
434,0.025558,-0.0654828,-0.0355939,,
435,0.0259469,-0.0599454,-0.0271323,,
436,0.0227333,-0.0631859,-0.0250138,,
437,0.0357603,-0.0930427,-0.0350711,,
438,0.0283064,-0.0891614,-0.0245792,,
439,0.0202392,-0.0550353,-0.0420774,,
440,0.0030368,-0.0256137,-0.0738592,,
441,-0.0187945,0.0182441,-0.0333945,,
442,0.00796436,-0.0073709,-0.101981,,
443,0.025611,-0.0133398,-0.11344,,
444,0.00499915,-0.0519012,-0.0630297,,
445,0.0201831,-0.0430088,-0.0592753,,
446,0.0364547,-0.0611888,-0.0530097,,
447,0.0461747,-0.0149343,-0.0521854,,
448,0.062582,-0.0260012,-0.0376966,,
449,0.0629126,-0.0334413,-0.055646,,
450,0.0332125,-0.0565864,-0.0381659,-0.0648113,-0.0902493
451,0.0447754,-0.0503358,-0.00922913,-0.0734539,-0.040012
452,0.052911,-0.0297716,0.0230759,-0.0542023,-0.0390619
453,0.0677896,0.00279831,-0.0324393,-0.0731165,-0.0269283
454,0.0566112,0.0536288,-0.0293365,-0.0611054,-0.0263766
455,0.0644447,0.0592055,-0.014619,-0.0321225,-0.00471778
456,0.0896765,0.0701486,-0.0209782,-0.0388704,-0.00831843
457,0.099426,0.0755819,-0.0582691,0.00923658,0.0389022
458,0.0935927,0.0274653,-0.0911152,0.0172154,2.21537E-4
459,0.137371,0.0172303,-0.112478,0.0267612,-0.0358873
460,0.155016,0.0421601,-0.0644323,0.0323733,-0.0553607
461,0.157594,0.0362441,-0.106969,0.0334561,-0.0163124
462,0.159194,-0.00513526,-0.10429,0.0451314,0.0324958
463,0.16832,-0.0481591,-0.0836529,0.0275099,-0.0153487
464,0.168928,-0.0545109,-0.127518,0.0176292,-0.0236639
465,0.134853,-0.100343,-0.11657,-0.030863,0.0162192
466,0.0936862,-0.135432,-0.117104,-0.0217434,-0.0274416
467,0.0792618,-0.125646,-0.0731885,-0.0225537,0.00701843
468,0.0719896,-0.0997058,0.0143808,-0.0493277,0.0285303
469,0.0151616,-0.171154,-0.0258191,-0.0320887,-0.0377444
470,-0.0356003,-0.162983,0.0202785,-0.00517538,-0.0394678
471,-0.0487451,-0.173988,-0.0105023,-0.0159537,-0.069512
472,-0.0871208,-0.167917,0.0116079,-0.0309852,-0.0833628
473,-0.110947,-0.139821,0.0134205,-0.0486019,-0.057698
474,-0.120534,-0.124953,0.0135763,-0.059583,-0.0570073
475,-0.143691,-0.0625867,0.0107338,-0.0831699,-0.0696184
476,-0.125919,-0.0321003,0.0470344,-0.0580576,-0.109382
477,-0.101729,-0.0254545,-0.00682058,-0.113744,-0.131918
478,-0.0896055,-0.0396034,-0.0317702,-0.15217,-0.128751
479,-0.0645643,-0.0243434,-0.0433524,-0.185459,-0.102214
480,-0.0291529,4.90637E-5,-0.0724356,-0.193851,-0.0675509
481,-0.0049185,-0.0291992,-0.140072,-0.172091,-0.13126
482,0.0370579,-0.031336,-0.115486,-0.195215,-0.129197
483,0.0529179,-0.00458543,-0.0367337,-0.218282,-0.123912
484,0.0857177,-0.0290308,-0.0330189,-0.165807,-0.128085
485,0.0736031,-0.0611539,-0.00655107,-0.110933,-0.0545806
486,0.0482639,-0.0614455,0.0507777,-0.0863326,0.0196917
487,0.094298,-0.0323864,-5.82493E-4,-0.0449612,0.0677545
488,0.0864048,-0.0460263,-0.0468252,-0.078735,0.0717809
