Wavelength,,,,
nm,,,,
Type,CA-FA-!alc,CA-FA-!alc,CA-FA-!alc,CA-FA-!alc
AA,Ser,Ser,Ser,Ser
experim,no4_0.1,no3_0.5,no1_0.1,no2_0.1
442,-0.0126616,0.0605763,0.0365228,
443,0.00990936,0.071875,0.0237047,
444,-0.00475676,0.0587151,0.0213849,
445,0.0267086,0.0513566,0.0200266,
446,0.0252397,0.0162174,0.0250764,
447,0.0349338,0.0496553,0.0575576,
448,0.0549594,0.0379631,0.0641215,
449,0.0745951,0.0239504,0.110413,
450,0.042062,0.00178164,0.147029,0.071055
451,0.023018,0.0151439,0.111283,0.0686348
452,0.0271933,0.0460426,0.141168,0.139103
453,0.0187308,0.0290727,0.119722,0.126915
454,0.0094784,0.0440188,0.155305,0.149813
455,0.0170622,0.0545825,0.170971,0.148815
456,0.0295683,0.0827616,0.179821,0.116314
457,0.0615416,0.0839532,0.178589,0.128913
458,0.0620593,0.0511314,0.162379,0.119906
459,0.0492925,0.0740737,0.104885,0.115471
460,0.0447718,0.0958566,0.107157,0.105083
461,0.0385802,0.114915,0.161487,0.0791968
462,0.034227,0.107452,0.129998,0.0941655
463,0.0370872,0.121349,0.129979,0.0756296
464,0.0219159,0.127219,0.130645,0.109867
465,-0.00373909,0.12664,0.107424,0.0724266
466,-0.0277983,0.114202,0.109529,0.0784797
467,-0.0709965,0.135098,0.149796,0.0950903
468,-0.0685537,0.106537,0.169264,0.109548
469,-0.0911026,0.113453,0.116413,0.13786
470,-0.112847,0.026146,0.0629946,0.116272
471,-0.134187,0.00516378,0.0234821,0.0921076
472,-0.160271,-0.038352,-0.0174214,0.078959
473,-0.177901,-0.0400052,-0.00892006,0.0403432
474,-0.172568,-0.0510732,-0.0326684,0.010258
475,-0.180039,-0.0230871,-0.0323291,0.0033931
476,-0.203915,-0.041243,-0.100491,-0.0286195
477,-0.168352,-0.0164671,-0.0878156,-0.0371984
478,-0.17324,-0.0259738,-0.103774,-0.0150351
479,-0.130921,0.020558,-0.0327463,-0.00623076
480,-0.107349,0.0855485,0.0133543,7.52654E-4
481,-0.117086,0.094483,-0.00478119,-0.0128852
482,-0.110797,0.109879,0.00109623,0.0313479
483,-0.132535,0.106808,0.0551927,0.0151891
484,-0.118371,0.0955559,0.122903,0.068094
485,-0.071802,0.149729,0.121575,0.0782663
486,-0.117869,0.147885,0.177887,0.0985783
487,-0.0525613,0.18358,0.18068,0.143811
488,-0.0818803,0.167015,0.150507,0.100878
489,-0.0769488,0.0978142,0.123057,0.0931702
490,-0.0846625,0.100326,0.0636179,0.0421926
491,-0.095321,0.0984073,0.0424292,0.0587394
492,-0.0667568,0.154576,0.0661411,-0.0273936
493,-0.0607105,0.119369,0.0561901,-0.0350134
494,-0.0463359,0.0922293,-0.00993543,-0.113068
495,-4.41126E-4,0.0701542,-0.0511221,-0.073251
496,-0.0455507,0.0095304,0.0148136,-0.060724
497,-0.129085,-0.0675755,-0.045425,0.0693277
498,-0.0865903,-0.0131558,-0.0715213,0.138911
499,-0.125897,-0.0552616,-0.0229149,0.133125
500,-0.122894,0.0159199,0.0871455,0.191717
501,-0.109407,-0.0311114,0.0110573,0.132021
502,-0.127142,-0.112561,-0.0908267,0.0988737
503,-0.132124,-0.042256,-0.176789,0.103442
504,-0.119794,-0.0740962,-0.162793,0.00964988
505,-0.135331,-0.0808885,-0.183153,-0.057715
