N,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
DP,0.1,1.0,1.0,0.5,0.1,1.0,0.5,0.5,0.5,0.1,0.1,0.1,0.1,1.0,1.0,1.0,1.0,0.5,1.0,0.1,0.1,0.5
Speed,50,50,50,50,50,20,20,100,50,50,50,50,50,100,50,50,20,100,20,50,20,100
BW,8,8,5,5,5,5,5,8,5,8,8,8,8,8,8,8,8,8,8,8,5,8
DIT,8,8,8,8,8,16,16,4,4,8,8,8,8,2,8,8,16,4,16,8,16,4
Acc,1,1,1,1,1,1,1,3,1,1,1,3,1,3,3,1,1,3,1,1,1,4
321,-0.26051,0.0129287,-0.0988811,-0.354309,0.14437,0.0115393,-0.0640874,0.00992281,0.50545,-0.26051,-0.0664041,0.00961684,0.0242567,-0.153449,0.0138202,0.547953,0.675569,0.412883,0.528426,-0.137501,0.14324,0.249186
322,-0.16874,0.00701411,-0.155446,-0.427305,0.174964,0.0357867,-0.0522866,0.0996916,0.431901,-0.16874,-0.15103,-0.0497136,0.0386708,-0.0625738,-0.0450645,0.57042,0.718115,0.524201,0.634865,-0.245112,0.209135,0.267984
323,-0.155618,0.0262849,-0.214268,-0.420552,0.208876,0.0324336,-0.088572,0.0907103,0.437753,-0.155618,-0.139643,0.0136483,0.0376759,-0.12758,-0.0602889,0.42879,0.672573,0.677141,0.597968,-0.18135,0.125489,0.286309
324,-0.101297,-0.061581,-0.252904,-0.412206,0.209175,-0.0170476,-0.189338,0.112017,0.599676,-0.101297,-0.194757,0.0602827,0.114477,-0.169226,0.0356886,0.312332,0.703214,0.708857,0.531404,-0.103515,0.134135,0.325438
325,-0.0636604,-0.109353,-0.283662,-0.461154,0.0607712,-0.0299735,-0.22481,0.186897,0.610997,-0.0636604,-0.173917,0.0187695,0.148392,-0.0882732,0.0403462,0.302421,0.663929,0.721935,0.356858,-0.0447319,0.206974,0.369863
326,-0.0133642,-0.169632,-0.347564,-0.39561,0.0331256,-0.0682847,-0.246528,0.188326,0.437325,-0.0133642,-0.204088,0.0732921,0.12367,0.0373951,0.0367045,0.236924,0.727802,0.663356,0.344532,-0.0519606,0.196249,0.294946
327,0.0463383,-0.23737,-0.364872,-0.364639,0.0290522,-0.0553854,-0.253565,0.173477,0.528005,0.0463383,-0.101253,0.0497347,0.144398,-0.0612755,0.00653665,0.137052,0.643571,0.722344,0.431763,-0.100456,0.193389,0.304255
328,0.0350331,-0.312925,-0.356183,-0.386303,-0.0161237,-0.0187676,-0.221376,0.226707,0.512496,0.0350331,-0.0400365,0.0620372,0.155868,-0.145298,-0.0065243,0.151176,0.661688,0.690977,0.321815,-0.201149,0.304259,0.304851
329,-0.0321239,-0.343093,-0.352324,-0.416607,-0.122201,-0.0280599,-0.190316,0.321962,0.392082,-0.0321239,-0.0494272,0.102389,0.0734871,-0.194468,0.0466048,0.100454,0.687737,0.625886,0.401657,-0.126927,0.403673,0.290333
330,0.00424432,-0.332031,-0.375871,-0.438645,-0.0890045,-0.0861399,-0.273685,0.328823,0.178766,0.00424432,-0.0613095,0.0445428,0.0276564,-0.131034,0.0950337,0.00609974,0.634539,0.564743,0.440025,-0.0505653,0.423309,0.242989
331,-0.0565972,-0.30275,-0.433169,-0.397664,-0.0778966,-0.0776426,-0.223702,0.282686,0.182731,-0.0565972,-7.75888E-4,0.0451486,-0.0581737,-0.082992,0.145438,-0.0652828,0.770067,0.495804,0.444455,0.0857015,0.465076,0.258344
332,-0.0863344,-0.340764,-0.441634,-0.395389,-0.105353,-0.04037,-0.208126,0.314612,0.120806,-0.0863344,0.0480453,0.0871558,-0.00553279,-0.0707304,0.284005,-0.198927,0.7067,0.549281,0.700682,0.0942973,0.438239,0.190591
333,-0.133123,-0.343734,-0.465627,-0.281996,-0.0873347,-0.0981579,-0.2203,0.246195,0.00620411,-0.133123,0.155497,0.0533962,-0.0921943,0.03978,0.266554,-0.0284359,0.802514,0.39213,0.587587,0.111708,0.487409,0.202237
334,-0.200994,-0.360378,-0.538296,-0.273642,-0.2257,-0.0746915,-0.237586,0.211003,0.152745,-0.200994,0.0820889,0.0586216,-0.161445,0.0400271,0.133054,0.0268987,0.878219,0.421265,0.644957,0.0583357,0.511694,0.122938
335,-0.29466,-0.282737,-0.451091,-0.236761,-0.260048,-0.070144,-0.354624,0.177433,0.14473,-0.29466,0.0778672,0.0773264,-0.0811908,0.0450961,0.146555,-0.0382729,0.883732,0.315268,0.714409,0.0728208,0.538804,0.174205
336,-0.327471,-0.264309,-0.485016,-0.187552,-0.28935,-0.110458,-0.35763,0.204901,0.281306,-0.327471,0.14188,0.0783924,-0.0570033,0.0260444,0.158382,0.0236667,0.663593,0.292461,0.645509,0.0416331,0.449618,0.195921
337,-0.287456,-0.255904,-0.519244,-0.262845,-0.260917,-0.127278,-0.367266,0.204754,0.266434,-0.287456,0.195259,0.0538649,-0.144346,0.0893758,0.184618,0.14817,0.764675,0.268125,0.543563,0.143671,0.462481,0.247801
338,-0.246806,-0.200192,-0.490857,-0.340971,-0.133893,-0.0705901,-0.322157,0.0978951,0.24984,-0.246806,0.105911,-0.00407134,-0.0326143,0.0543664,0.206699,0.229582,0.805292,0.308738,0.472625,0.121388,0.517243,0.280769
339,-0.250939,-0.180065,-0.534899,-0.261691,-0.0620015,-0.092795,-0.321924,0.0685572,0.290589,-0.250939,0.0780937,5.13167E-4,0.0570273,0.0532435,0.0919521,0.193118,0.66641,0.235178,0.530247,0.0910348,0.430995,0.341756
340,-0.295753,-0.169915,-0.492389,-0.300043,-0.131254,-0.0382711,-0.294226,0.0684675,0.262801,-0.295753,0.12503,0.100504,0.169308,-0.0261991,0.0969639,0.245421,0.621419,0.294997,0.513206,0.128623,0.389979,0.408488
341,-0.280231,-0.15329,-0.526934,-0.319276,-0.228929,0.0192935,-0.253085,0.0812068,0.281222,-0.280231,0.0511393,0.0161372,0.102964,0.0718957,0.114551,0.282288,0.430838,0.219052,0.57537,0.0568199,0.332538,0.436241
342,-0.29135,-0.145619,-0.5184,-0.403093,-0.17131,0.00344843,-0.215977,0.123841,0.383167,-0.29135,0.0772859,0.0137208,0.112612,0.121723,0.0292917,0.276659,0.460195,0.350902,0.534085,0.0303938,0.360025,0.454369
343,-0.275352,-0.17564,-0.583858,-0.453049,0.0163783,0.0453568,-0.150537,0.126745,0.542842,-0.275352,0.143351,0.0663053,0.166796,0.220113,0.0370796,0.201001,0.535829,0.353085,0.442121,-6.50732E-4,0.30806,0.527503
344,-0.198786,-0.164461,-0.610418,-0.54865,0.126187,0.00542907,-0.102822,0.130099,0.543073,-0.198786,0.130859,0.0990426,0.132813,0.0957155,0.026619,0.244739,0.711724,0.335867,0.608467,-0.0278379,0.34696,0.48087
345,-0.132352,-0.163723,-0.594808,-0.578487,0.0718296,-0.0282736,-0.160409,0.0924745,0.555576,-0.132352,0.0766996,0.00996478,0.148779,0.0864978,-0.0270763,0.198283,0.582994,0.42024,0.619173,0.0141853,0.258815,0.430964
