Wavelength,,,,,
nm,,,,,
Type,DurSynth_av,DurSynth_av,DurSynth_av,DurSynth_av,DurSynth_av
AA,Phe,Cys,Try,Non,Glu
experim,1,2,3,4,5
401,-0.116154,0.374546,-0.550675,0.552121,-0.29702
402,-0.111012,0.33786,-0.507202,0.489007,-0.26777
403,-0.0110225,0.389374,-0.38362,0.545962,-0.224743
404,-0.0345075,0.367581,-0.353131,0.561275,-0.239167
405,0.0179772,0.405661,-0.332394,0.599465,-0.272939
406,0.0484183,0.358396,-0.384827,0.597021,-0.276339
407,0.0245956,0.338979,-0.347908,0.608165,-0.223253
408,-0.0580892,0.301373,-0.383393,0.558744,-0.372943
409,-0.0425581,0.289503,-0.390532,0.546737,-0.326248
410,-0.052534,0.278307,-0.37996,0.52965,-0.360252
411,-0.0712596,0.350606,-0.410081,0.563646,-0.361249
412,-0.169532,0.272383,-0.51434,0.56427,-0.390513
413,-0.169833,0.381844,-0.491288,0.584841,-0.31504
414,-0.194287,0.393098,-0.447368,0.602003,-0.22914
415,-0.201038,0.409208,-0.373876,0.580171,-0.22478
416,-0.174263,0.388435,-0.419113,0.578699,-0.210418
417,-0.0983575,0.444347,-0.406272,0.653984,-0.183732
418,-0.136438,0.438401,-0.392958,0.658278,-0.185731
419,-0.105203,0.345717,-0.439872,0.628224,-0.230007
420,-0.0681764,0.403922,-0.442883,0.709546,-0.257715
421,-0.111748,0.339841,-0.514121,0.62651,-0.333679
422,-0.0669282,0.328656,-0.517575,0.619619,-0.356773
423,-0.016129,0.29488,-0.533849,0.634315,-0.375181
424,-0.00227839,0.323376,-0.517081,0.678982,-0.35637
425,-0.0574951,0.285566,-0.573346,0.66868,-0.361745
426,-0.0514643,0.335625,-0.56205,0.681044,-0.400054
427,-0.0290447,0.398387,-0.43269,0.725874,-0.331093
428,-0.0106971,0.418651,-0.458839,0.726845,-0.311918
429,-0.142162,0.423029,-0.392938,0.759078,-0.317053
430,-0.137368,0.378903,-0.407579,0.779364,-0.331759
431,-0.139202,0.443585,-0.333974,0.835557,-0.268051
432,-0.122849,0.458036,-0.335496,0.879667,-0.276098
433,-0.170626,0.497831,-0.340612,0.89343,-0.304127
434,-0.149959,0.543149,-0.411205,0.890956,-0.362067
435,-0.100166,0.515291,-0.389533,0.915997,-0.370226
436,-0.135765,0.476743,-0.468609,0.86068,-0.359409
437,-0.0127661,0.503819,-0.432351,0.94213,-0.284224
438,0.00696071,0.556668,-0.438108,0.981253,-0.246811
439,0.0592492,0.571837,-0.448378,0.912135,-0.187096
440,0.0890153,0.597033,-0.452497,0.962145,-0.171125
441,0.0853868,0.633291,-0.377909,0.961573,-0.132727
442,0.108506,0.654251,-0.371409,0.935386,-0.120169
443,0.101025,0.65727,-0.297919,0.956068,-0.0947021
444,0.0707383,0.611405,-0.383556,0.873493,-0.154572
445,0.0608814,0.618071,-0.373659,0.89219,-0.135067
446,-0.00775277,0.583666,-0.382189,0.945955,-0.207998
447,-0.0271636,0.626717,-0.36017,0.946923,-0.194818
448,-0.0788993,0.604956,-0.402186,0.948182,-0.247874
449,-0.10513,0.632589,-0.314593,1.02862,-0.248252
450,-0.100467,0.601657,-0.359128,0.945664,-0.400813
